Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2014,Problem,Ariana Grande Featuring Iggy Azalea,True,2014,"Contemporary R&B, R&B/Soul, Pop",Uh-huh! Iggy Iggs! got one problem girl hey Hey baby even though hate ya want love ya (I want even though cannot forgive ya really want (I want Tell tell baby cannot leave even though not want got (I want Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya got one less problem without ya (I got one less one less problem Problem problem problem (I got one less one less problem Let us go know never going wake got give know not ever call back let come back Every time touch say love get little bit breathless not want Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya got one less problem without ya (I got one less one less problem Problem problem problem (I got one less one less problem Iggy Iggs! Uh got Smart money betting better without no time forgetting saying know really really doubt understand life easy not around Iggy Iggy big stressing thinking love thought love presence best thing probably exit let go let back finally learned lesson No either want playing listening knowing cannot believe saying million yous baby boo not dumb got 99 problems not one Like Mm-mm one less one less problem Mm-mm yeah one less one less problem Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya no babe got one less problem without ya ooh ooh baby (I got one less one less problem Problem problem problem (I got one less one less problem problem Hey got one less one less yeah (I got one less one less problem,Negative
2014,Rude,MAGIC!,True,2014,"Reggae fusion, Pop","Saturday morning jumped bed put best suit Got car raced like jet way Knocked door heart hand ask question know old fashioned man Yeah daughter rest life Say yes say yes need know say never get blessing til day die ""Tough luck friend answer not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl yeah no matter say (Marry girl family got rude hate leave no choice Cannot live without Love hate Standin' alter run away another galaxy know know love go anywhere go daughter rest life Say yes say yes need know say never get blessing day die ""Tough luck friend answer's still not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl no matter say (Marry girl family got rude Rude daughter rest life Say yes say yes need know say never get blessing til day die ""Tough luck friend no still means not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl no matter say (Marry girl family got rude Oh yeah oh got rude Why? got rude",Negative
2014,Am I Wrong,Nico & Vinz,True,2014,"Reggae fusion, Pop",wrong thinking box stay wrong saying choose another way not trying everybody else everybody one thing know far would grow walking road mine road call home wrong thinking could something real wrong trying reach things cannot see feel feel feel trying reach things cannot see tripping vision prediction I'mma top world Hope hope not look back always decide not let control life feel Fight not let go not let compare no not worry not alone feel wrong thinking could something real wrong trying reach things cannot see feel feel feel trying reach things cannot see tell wrong wrong not want right right tell wrong wrong not want right tell wrong wrong not want right right tell wrong wrong not want right wrong thinking could something real wrong trying reach things cannot see feel feel feel trying reach things cannot see feel feel feel trying reach things cannot see,Negative
2014,Wiggle,Jason Derulo Featuring Snoop Dogg,True,2014,"R&B/Soul, Pop",Ayo Jason (Oh yeah Say something Holla Haha got one question Haha fit jeans hah know big fat butt Wiggle wiggle wiggle Wiggle wiggle wiggle Wiggle wiggle wiggle little bit Patty cake patty cake no hands Got club making wedding plans take pictures dance could make famous Instagram Hot damn booty like two planets Go ahead go ham sandwich Woah cannot stand know big fat butt Wiggle wiggle wiggle Wiggle wiggle wiggle Wiggle wiggle wiggle little bit Cadillac Cadillac pop trunk Let us take shot alley top done Tired working nine five Oh baby let come change life Hot damn booty like two planets Go ahead go ham sandwich Woah cannot stand know big fat butt Wiggle wiggle wiggle Wiggle wiggle wiggle (Wiggle wiggle wiggle Wiggle wiggle wiggle (Shake shake girl little bit (Little bit little bit little bit Shake mamma gave misbehave want strip dip flip bubble bathe taste raindrops k book willing wanting may Completely separated til deeply penetrate take wipe Eat ate love hate Overstated underrated everywhere wiggle wiggle D-O-double G Come baby turn around (Turn around turn around turn around yeah star girl take bow (Take bow take bow take bow hah yeah one thing killing fit jeans know big fat butt Wiggle wiggle wiggle (Wiggle wiggle wiggle Wiggle wiggle wiggle (Wiggle wiggle wiggle Wiggle wiggle wiggle (Shake shake girl little bit (Little bit wiggle wiggle wiggle make clap (Wiggle wiggle wiggle make clap (Wiggle wiggle wiggle Love like no hands baby make clap Clap clap clap like swing Damn baby got bright future behind,Positive
2014,All Of Me,John Legend,True,2013,"R&B/Soul, Pop soul",would without smart mouth Drawing kicking got head spinning no kidding cannot pin going beautiful mind magical mystery ride dizzy not know hit alright head's water breathing fine crazy mind Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give ooh many times tell Even crying beautiful world beating around every mood downfall muse worst distraction rhythm blues cannot stop singing ringing head head's water breathing fine crazy mind Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give ooh Give oh Cards table showing hearts Risking though hard Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give give give ooh,Positive
2014,Summer,Calvin Harris,True,2014,"Ambient, Dance Pop, House",met summer heartbeat's sound fell love leaves turned brown could together baby long skies blue act innocent lied soon met summer met summer heartbeat's sound fell love leaves turned brown could together baby long skies blue act innocent lied soon met summer Summer met summer Summer,Positive
2014,Turn Down For What,DJ Snake & Lil Jon,True,2013,"Electronic dance music, Trap music, Dance/Electronic",Fire loud Another round shots Turn Turn Turn Turn Turn Fire loud Another round shots Turn Turn Turn Turn Turn Fire loud Another round shots Fire loud Another round shots Fire loud Another round shots Fire loud Another round shots Turn Turn Turn Turn Turn Turn,Negative
2014,Happy,Pharrell Williams,True,2014,"Soul music, Neo soul, Pop",might seem crazy say Sunshine take break hot air balloon could go space air like not care baby way Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want come bad news talking Well give got not hold back Well probably warn fine No offense not want waste time Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want Bring cannot nothing Bring level's high Bring cannot nothing Bring said (I tell Bring cannot nothing happy happy happy Bring level's high happy happy happy Bring cannot nothing happy happy Bring said happy happy Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want Bring cannot nothing happy happy happy Bring level's happy happy happy Bring cannot nothing happy happy happy Bring said happy happy happy Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want Clap along feel like room without roof (Because happy Clap along feel like happiness truth (Because happy Clap along know happiness (Because happy Clap along feel like want,Positive
2014,Dark Horse,Katy Perry Featuring Juicy J,True,2013,"Soul music, Neo soul, Pop",Yeah know Katy Perry Juicy J Uh huh let us rage knew going come better choose carefully capable anything anything everything Make Aphrodite Make one not make enemy enemy enemy enemy want play magic Boy know falling Baby dare coming like dark horse ready ready perfect storm perfect storm (Hey hey mine mine hey hey hey (There no going back Mark words love make levitate Like bird like bird without cage earth choose walk away not walk away palm hand baby yes no no maybe sure give give want play magic Boy know falling Baby dare coming like dark horse ready ready perfect storm perfect storm (Hey hey mine mine hey hey hey Yup (There no going back Uh beast call Karma come back eat heart like Jeffrey Dahmer careful try not lead Shawty heart steroids love strong might fall love meet meet get chance better keep keep sweet pie break heart turn cold freezer fairy tale ending knight shining armor Sleeping Beauty gone put coma Damn think love Shawty bad sprung not care ride like roller coaster Turn bedroom fair fair love like drug trona hit quit lily mama dope messed around got addicted want play magic Boy know falling know Baby dare coming like dark horse like dark horse ready ready ready perfect storm perfect storm (A perfect storm mine mine (There no going back,Positive
2014,Sing,Ed Sheeran,True,2013,"Alternative/Indie, R&B/Soul, Electropop, Dance/Electronic, MORE","late evening Glass side sat night Ignoring everybody wish would disappear maybe could get not want know getting ahead programmed want mine lady hold body close Take another step woman's land longest time lady need darling Come set tone feel falling not let know Oh-oh Oh-oh love Come get involved Feel rushing head toe Oh-oh Oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Louder! Oh-oh-oh-oh-oh-oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh love ablaze saw flames side stage fire brigade comes couple days got nothing say nothing know something drink maybe something smoke Let go roads changed Singing found love local raven no not really know supposed say figure hope pray told name said ""It nice meet ya handed bottle water filled tequila already know keeper one small act kindness deep anybody finds meant drive home drunk Not sobering sit couch One thing led another kissing mouth need darling Come set tone feel falling not let know Oh-oh Oh-oh love Come get involved Feel rushing head toe Oh-oh Oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Louder! Oh-oh-oh-oh-oh-oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh feel guys not even want dance feel hear music back feel found hiding not take hand darling beat kicks feel feel Sing! need darling Come set tone feel falling not let know Oh-oh Oh-oh love Come get involved Feel rushing head toe Oh-oh Oh-oh Sing!",Positive
