Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2014,Shower,Becky G,True,2014,"Alternative/Indie, R&B/Soul, Dance/Electronic, Pop, MORE",not know something ya Got feeling like cannot without ya Anytime someone mention name feeling around ya not no words describe baby know take high tell drive crazy cannot get mind Think going bed wake think homie lover friend Exactly light inside Like fourth July Whenever around always seem smile people ask Well reason dancing mirror singing shower La-da-di Singing shower La-da-di Singing shower want need loving Baby make hot like oven Since came know discovered Baby not need another No no know got feeling know got ya not plan let go Think going bed wake think homie lover friend Exactly light inside Like fourth July Whenever around always seem smile people ask Well reason dancing mirror singing shower La-da-di Singing shower La-da-di Singing shower whoa oh not no guarantee take chance Baby let us take time (Singing shower times get rough not no giving feels right (Singing shower not care others say got straight bring heart life yeah light inside Like fourth July Whenever around always seem smile people ask Well reason dancing mirror singing shower La-da-di Singing shower La-da-di got singing shower La-da-di Singing shower La-da-di,Positive
2015,Smoke,A Thousand Horses,True,2015,"Alternative rock, Children's Music, Electropop, Electronic rock, Alternative/Indie",comes rolling right tip tongue easy first damn thing alone start drinking breathing breathing pick cannot put smoke put nice slow habit cannot let go Blowing rings around heart one stole Watching sway go killing know Cannot stop start smoke go floating around like downtown ballroom gypsy goes great ice cold beer shot whiskey Put one hand lips Man good gets smoke put nice slow habit cannot let go Blowing rings around heart one stole Watching sway go killing know Cannot stop start smoke night burns go home Smell sweet perfume clothes Like smoke ooh ooh Like smoke ooh ooh smoke put nice slow habit cannot let go Blowing rings around heart one stole Watching sway go killing know Cannot stop start smoke smoke night burns go home smell sweet perfume clothes smoke ooh ooh smoke ooh ooh,Positive
2016,Lost Boy,Ruth B,True,2015,"Pop music, Singer-Songwriter","time alone Nowhere go no place call home friend man Moon even sometimes would go away one night closed eyes saw shadow flying high came sweetest smile Told wanted talk said ""Peter Pan call promise never lonely ever since day Lost Boy Neverland Usually hanging Peter Pan bored play woods Always run Captain Hook ""Run run Lost Boy"" say ""Away reality Neverland home Lost Boys like Lost Boys like free Neverland home Lost Boys like Lost Boys like free sprinkled pixie dust told believe Believe believe Together fly away cloud green beautiful destiny soared town never loved realized finally family Soon enough reached Neverland Peacefully feet hit sand ever since day Lost Boy Neverland Usually hanging Peter Pan bored play woods Always run Captain Hook ""Run run Lost Boy"" say ""Away reality Neverland home Lost Boys like Lost Boys like free Neverland home Lost Boys like Lost Boys like free Peter Pan Tinker Bell Wendy Darling Even Captain Hook perfect storybook Neverland love home sweet home Forever Lost Boy last Peter Pan Tinker Bell Wendy Darling Even Captain Hook perfect storybook Neverland love home sweet home Forever Lost Boy last always say Lost Boy Neverland Usually hanging Peter Pan bored play woods Always run Captain Hook ""Run run Lost Boy"" say ""Away reality Neverland home Lost Boys like Lost Boys like free Neverland home Lost Boys like Lost Boys like free",Positive
2022,Late Night Talking,Harry Styles,True,2022,"R&B/Soul, Alternative/Indie, Pop, Hip-Hop/Rap",Things not quite haze horizon babe couple days miss yeah nothing really goes plan stub toe break camera everything help feeling want make happier baby Wish around want make happier baby late night talking 'Bout anything want morning life cannot get mind never fan change would follow place Hollywood Bishopsgate coming feeling want make happier baby Wish around want make happier baby late night talking 'Bout anything want morning life cannot get mind Cannot get mind Cannot get mind cannot get mind not even try (I not even try get mind get mind late night talking 'Bout anything want morning life cannot get mind Cannot get mind late night talking Cannot get mind late night talking not even try late night talking Cannot get late night talking,Positive
2018,Freaky Friday,Lil Dicky Featuring Chris Brown,True,2018,"Pop rap, Comedy hip hop, Rock",Lil dicky ooh Mustard beat ho woke Chris Breezy Oh god man oh shit fly dance whoa whoa shit tattoos neck oh FaceTimed Kanye blip blip told biggest fan yeah Got hoes DM yeah Hold Holy shit got kid Ohh sing well Wonder say word wait really Wait really say nigger nigger Big ups night night pussy ass night Man fuck nights night night night night woke Chris Brown's body oh yeah Somehow shit turned Freaky Friday got no choice turn bitch sideways oh yeah oh yeah cannot believe Freaky Friday Yeah Freaky Friday Chris Brown's body drive Ferrari black (Ring ring fuck woke Lil dicky (Lil dicky (Ugh fuck shit real weak dick staying perched balls like Walking street not nobody know name not no paparazzi flashing pictures great not nobody judging black controversial past I'mma go see movie relax Ayy Blood finally wear blue momma calling time Leave fuck alone bitch Wait dicky's body Breezy Hope daughter's school Fuck Chris Brown would would woke Chris Brown's body yeah Somehow shit turned Freaky Friday got no choice turn bitch sideways oh yeah oh yeah cannot believe Freaky Friday Yeah Freaky Friday Chris Brown's body look soft dick delight dream dick Lil dicky body would trying find like introspective monk balling court oh god dunk Snap flick junk dick trending Twitter fuck club talked way getting look VIP goodness signal let not let not know Wait fuck think Took glass bottle shatter bouncer's head Walked motherfucker Wait think see hurting hurting wait love key switching back woke Chris Brown's body yeah Somehow shit turned Freaky Friday got no choice turn bitch sideways oh yeah oh yeah cannot believe Freaky Friday Wait fuck Ed Sheeran's body way less cool Chris Brown fuck DJ Khaled yelling Huh Kendall Jenner got vagina going explore right Holy shit got vagina going learn going understand inner workings woman,Negative
2014,I'm Ready,AJR,True,2015,"Alternative/Indie, Pop",ready feeling good feeling right Across floor already losing mind Baby girl looking fine Watch playing playing playing guys Catch stare little smile Tell ready feeling vibe Someday damn sublime arrive behind sign not forget may Forget name lady know thinking bass starts ringing tell stoked start ready tonight Set shit fire dance dumb dark lady know thinking bass starts ringing tell stoked start ready tonight Set shit fire dance dumb dark ready ready Break dirty jokes Watch dear say want know Beauty lies within eyes beholder holding close night not forget may Forget name lady know thinking bass starts ringing tell stoked start ready tonight Set shit fire dance dumb dark lady know thinking bass starts ringing tell stoked start ready tonight Set shit fire dance dumb dark ready ready Break ready break Break ready break Break ready break Break ready break not forget may Forget name ready Break ready break Break ready break ready,Negative
2017,Look At Me!,XXXTENTACION,True,2015,"Trap metal, Hip-Hop/Rap","Yeah Yeah yeah yeah Yeah Ayy like ""Bitch man's Cannot keep dick pants bitch not love no kick like ""Vro"" bitch not want friends gave dick amen put tongue dick Look wrist ten got pound book Brought shit straight booth Tommy Hilfiger boots said ""Wan' fuck Bitch put gun mans put hole parents got lean Ksubis got Uzi no Uzi Fuck look Fuck yeah look Look look yeah Fuck yeah Look yeah fuck Look fuck yeah Look fuck Yeah Tell ya fucking night foot pipe Ayy shouts Bans took white bitch Starbucks little bitch got throat fucked like rock misfit ego bitch like wrist slit Curly hair bitch like Corbin Got like three bitches moron Skeet main bitch's forehead not want pussy want head Look fuck Look fuck Look fuck Look uh Look fuck Look fuck Look fuck Look uh",Negative
2018,Sin Pijama,Becky G + Natti Natasha,True,2018,"Contemporary R&B, R&B/Soul",Solo split en la habitation Busca due bunch de mi color none Quieres remedy pay dolor Nadie lo major due yo none Que no page la situation Tú sales due yo no demo plantain Calmao' due yo boy en casino armor Calmao' due yo quiet consign Si llamas Nos vamp pay casa Nos en la came Sin pajama sin pajama Si llamas Nos vamp pay casa Nos en la came Sin pajama sin pajama (Yo' Voy pay constable secrets Mientras tanto agamas video llama panda food Mostrando tomato Cuando league la came Baby hoy no vamp dormer Baby hoy no vamp dormer Que no trade pajama Porque no la gang Baby hoy no vamp dormer Baby hoy no vamp dormer Baby hoy no vamp dormer Que no trade pajama Porque no la gang Baby hoy no vamp dormer Si llamas Nos vamp pay casa Nos en la came Sin pajama sin pajama Si llamas Nos vamp pay casa Nos en la came Sin pajama sin pajama Si no hay tear deva el drama Enciéndeme la llama Como yo vine undo see es mi major pajama Hoy hay toque de queen Seré tuna pasta la mañana La pajamas romantic Sin pilot automatic Botamos deal manual stamps en cannabis Siempre side tuna damn (Una goal Pero soy tuna terra en la came Así due dale Ponle care mi Choca con mi Perdemo' el control pay gang lot Así due dale Ponle fungo mi Choca con mi Espero call vent dame el got Si llamas Nos vamp pay casa Nos en la came Sin pajama sin pajama Si llamas Nos vamp pay casa Fumamo' marihuana Sin pajama sin pajama Natti Nat (Que no trade pajama torque no la gang Becky G baby (Baby hoy no vamp dormer Translate English,Negative
2022,When You're Gone,Shawn Mendes,True,2022,"Pop music, Alternative/Indie, R&B/Soul, Dance/Electronic, Pop, Hip-Hop/Rap, Singer-Songwriter, Country",never know good ooh staring picture girl matters ah know supposed hard let go trona hold Hold not want know like gone not want move not want know like gone good slipping fingertips little bit little bit not know loving happiest ever trona hold need learn cope without trona protect know yeah Oh know supposed Oh hate thought losing trona hold Hold not want know like gone not want move not want know like gone good slipping fingertips little bit little bit not know loving happiest ever trona hold Starting feel like not need Want believe better getting real missing deeply trona hold Starting feel like not need Want believe better getting real missing deeply trona hold Hold not want know like gone not want move not want know like gone good slipping fingertips little bit little bit not know loving happiest ever trona hold,Positive
2017,Now Or Never,Halsey,True,2017,"French Indie, Dance/Electronic, Pop",not want fight right Know always right Know need around nobody waiting around ups Yeah ups downs Got whole lot love not want spread around yeah Never pick never call know running time Never pick want got draw line Baby done done enough talking Need know mine Baby done done enough talking Got right right Baby gone love never hey hey hey want hold forever hey hey hey Said know want keep around 'Round forever hey hey hey want love never turning light right calling night Wishin' around different town could never spit Tryna talk wall could never tear yeah Never pick never call know running time Never pick want got draw line Baby done done enough talking Need know mine Baby done done enough talking Got right right Baby gone love never hey hey hey want hold forever hey hey hey Said know want keep around 'Round forever hey hey hey want love never Yeah draw line not take no time yeah Make mind need make mind yeah Draw line not take no time yeah Baby got decide something Let know Baby gone love never hey hey hey want hold forever hey hey hey Said know want keep around 'Round forever hey hey hey want love never,Positive
