Top100Year,SongTitle,Artist,LyricsStatus,Lyrics,ReleaseYear,Genre,Label
2014,West Coast,Lana Del Rey,True,"I can see my baby swingin'
Ooh baby baby bae, I love you
I can see my baby swingin'
Ooh baby baby bae, I love you
I can see my baby swingin'
Ooh baby baby bae, I love you
I can see my baby swingin'
Down on the West Coast they got a sayin'
""If you're not drinkin' then you're not playin'""
But you've got the music, you've got the music
In you, don't you?
Down on the West Coast, I get this feeling like
It all could happen, that's why I'm leaving
You for the moment, you for the moment
Boy blue, yeah you
I can see my baby swingin'
I can see my baby swingin'
Down on the West Coast, they got their icons
Their silver starlets, their Queens of Saigons
And you've got the music, you've got the music
In you, don't you?
Down on the West Coast, they love their movies
Their golden gods and rock and roll groupies
And you've got the music, you've got the music
In you, don't you?
I can see my baby swingin'
I can see my baby swingin'
You push it hard, I pull away, I'm feeling hotter than fire
I guess that no one ever really made me feel that much higher
Te deseo, cariño, boy, it's you I desire
Your love, your love",2014,"Soft rock, Alternative/Indie, Pop",Positive
2014,Automatic,Miranda Lambert,True,"Quarter in a payphone
Drying laundry on the line
Watching sun tea in the window
Pocket watch tellin' time
Seems like only yesterday, I'd get a blank cassette
Record the country countdown 'cause I couldn't buy it yet
If we drove all the way to Dallas just to buy an Easter dress
We'd take along a Rand McNally, stand in line to pay for gas
God knows that shifting gears ain't what it used to be
I learned to drive that '55, just like a queen, three on a tree
Hey, what ever happened to waiting your turn
Doing it all by hand?
'Cause when everything is handed to you
It's only worth as much as the time put in
It all just seems so good the way we had it
Back before everything became automatic
If you had something to say
You'd write it on a piece of paper
Then you put a stamp on it
And they'd get it three days later
Boys would call the girls
And girls would turn them down
Staying married was the only way to work your problems out
Hey, what ever happened to waiting your turn
Doing it all by hand?
'Cause when everything is handed to you
It's only worth as much as the time put in
It all just seems so good the way we had it
Back before everything became automatic, yeah
Automatic
Let's roll the windows down
Windows with the cranks
Come on, let's take a picture
The kind you gotta shake
Hey, what ever happened to waiting your turn
Doing it all by hand?
'Cause when everything is handed to you
It's only worth as much as the time put in
It all just seems so good the way we had it
Back before everything became automatic, yeah
Automatic",2015,"Alternative/Indie, Pop",Positive
2014,Bartender,Lady Antebellum,True,"8 o'clock on Friday night I'm still at home
All my girls just keep on blowing up my phone
Saying come on he ain't worth the pain
Do what you gotta do to forget his name
Now there's only one thing left for me to do
Slip on my favorite dress and sky high leather boots
Check the mirror one last time
And kiss the past goodbye
What I'm really needing now
Is a double shot of Crown
Chase that disco ball around
'Til I don't remember
Go until they cut me off
Wanna get a little lost
In the noise, in the lights
Hey bartender
Pour 'em hot tonight
'Til the party and the music and the truth collide
Bring it 'til his memory fades away
Hey bartender
Tonight I'll let a stranger pull me on the floor
Spin me 'round and let him buy a couple more
But before it goes too far
I'll let him down easy
'Cause tonight it's all about
Dancing with my girls to the DJ
Put that song on replay
What I'm really needing now
Is a double shot of Crown
Chase that disco ball around
'Til I don't remember
Go until they cut me off
Wanna get a little lost
In the noise, in the lights
Hey bartender
Pour 'em hot tonight
'Til the party and the music and the truth collide
Bring it 'til his memory fades away
Hey bartender
I'm feeling that buzz
I'm ready to rock
Ain't no way I'm gonna tell you to stop
So pour that thing up to the top
I'm coming in hot
Hey bartender
Ooh ooh
Oh oh oh, what I'm really needing now
Is a double shot of Crown
Chase that disco ball around
'Til I don't remember
Go until they cut me off
Wanna get a little lost
In the noise, in the lights
Hey bartender
Pour 'em hot tonight
'Til the party and the music and the truth collide
Bring it 'til his memory fades away
Hey bartender
Hey bartender",2014,"Country music, House music, Dance/Electronic, Folktronica",Positive
2014,Beat Of The Music,Brett Eldredge,True,"Well, I just met you a couple hours ago
My last night in town, hey, wouldn't you know
I'd get hooked on a girl with blue diamond eyes
Down here in Mexico, oh
Now you're walkin' up askin' me to dance
Smilin' that smile and reachin' out your hand
Well, there's a move or two I'd like to show you
While I've still got the chance
You got the soul, and you know how to use it
Put your hand on my hip 'cause you know that I'll lose it
You got my heart racin' like there's nothin' to it
Fallin' in love to the beat of the music
Oh-oh, why wouldn't I wanna stay? Yeah
Oh-oh, and let that plane fly away, ay-ay, ay-ay
'Cause you got the soul, and you know how to use it
Put your hand on my hip 'cause you know that I'll lose it
You got my heart racin' like there's nothin' to it
Fallin' in love to the beat of the music
The beat of the music
I think I could get used to that steel drum playin'
Wakin' up on a beach if you know what I'm sayin'
One more night would be more than alright with me
So hold on, baby 'cause
You got the soul, and you know how to use it
Put your hand on my hip 'cause you know that I'll lose it
You got my heart racin' like there's nothin' to it
Falling in love to the beat of the music
We're falling in love to the beat of the music
Ooh-ooh
Beat of the music
Yay-ay-ay, ay-ay-ay, ay-ay-ay
Yay-ay-ay, ay
Yay-ay-ay, ay-ay-ay, ay-ay-ay, yay-ay-ay, ay-ay-ay",2013,"Pop, UK R&B, Hip-Hop/Rap, Rock",Positive
2014,Habits (Stay High),Tove Lo,True,"I eat my dinner in my bathtub
Then I go to sex clubs
Watching freaky people getting it on
It doesn't make me nervous
If anything, I'm restless
Yeah, I've been around, and I've seen it all
I get home, I got the munchies
Binge on all my Twinkies
Throw up in the 'tub, then I go to sleep
And I drank up all my money
Dazed and kinda lonely
You're gone, and I gotta stay high all the time
To keep you off my mind
Ooh-ooh, ooh-ooh
High all the time to keep you off my mind
Ooh-ooh, ooh-ooh
Spend my days locked in a haze
Trying to forget you, babe, I fall back down
Gotta stay high all my life to forget I'm missing you
Ooh-ooh, ooh-ooh
Pick up daddies at the playground
How I spend my daytime
Loosen up the frown, make them feel alive
I make it fast and greasy
I'm numb, and way too easy
You're gone, and I gotta stay high all the time
To keep you off my mind
Ooh-ooh, ooh-ooh
High all the time to keep you off my mind
Ooh-ooh, ooh-ooh
Spend my days locked in a haze
Trying to forget you, babe, I fall back down
Gotta stay high all my life to forget I'm missing you
Ooh-ooh, ooh-ooh
Staying in my play pretend
Where the fun ain't got no end, oh
Can't go home alone again
Need someone to numb the pain, oh
Staying in my play pretend
Where the fun ain't got no end, oh-oh
Can't go home alone again
Need someone to numb the pain
You're gone, and I gotta stay high all the time
To keep you off my mind
Ooh-ooh, ooh-ooh
High all the time to keep you off my mind
Ooh-ooh, ooh-ooh
Spend my days locked in a haze
Trying to forget you, babe, I fall back down
Gotta stay high all my life to forget I'm missing you
Ooh-ooh, ooh-ooh
Oh-oh",2014,"Pop music, Electropop, Latin Urbano, Alternative/Indie, MORE",Negative
2014,We Dem Boyz,Wiz Khalifa,True,"Yeah, ayy
Yeah, ayy
Yeah, Boyz
Yeah
Hol' up, hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up, hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, pop a bottle (pop a bottle)
Hol' up, hol' up, hol' up, if you suck and swallow (if you suck it)
Smell that marijuana, they gon' follow (they gon' follow)
Throwin' money on her like she won the lotto (the lottery)
Pussy must be serious, hol' up
Scared of heights come face your fears (hol' up, hol' up)
Do it just like Nicki gon 'and bend it over (bus' it wide)
Say she never smoked I turned her to a stoner (smoking now)
Young nigga but I'm ready (but I'm ready)
Oh, foreign girls call me sexy (you sexy)
And white girls gimme Becky (Becky)
But first I gotta roll this joint, baby, hol' up, hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up, hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, we dem boyz
Oh my Gosh, that was amazing (hol' up, hol' up, hol' up)
Hol' up, hol' up, hol' up, you drive me crazy (drive me crazy)
Number one, bitch you can't replace me (can't replace me)
Leave the club these hoes be tryin' to chase me (why you playin'?)
You got a ass so fat let's make a baby (and another one)
Damn, I'm smokin' weed in my Mercedes (foreign car)
Hol' up, these niggas broke, these niggas lazy
Man they money slim, they actin' shady
I'm in my brand new car, who wanna race?
Hoe, bitch you ain't called my phone so why you showin' up? (Never)
I'm takin' them shots all my niggas stay loaded up
Man on the low all these hoes be actin' so material
Hol' up, man did you see her interior?
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, hol' up, hol' up, hol' up
Hol' up, we dem boyz
Hol' up, we dem boyz
Hol' up, hol' up, hol' up, we makin' noise, hol' up
Hol' up, we dem boyz",2014,"R&B/Soul, Afroswing, Hip-Hop/Rap",Negative
2014,Afire Love,Ed Sheeran,True,"Things were all good yesterday
And then the devil took your memory
And if you fell to your death today
I hope that heaven is your resting place
I heard the doctors put your chest in pain
But then that could've been the medicine
And now you're lying in the bed again
Either way, I'll cry with the rest of them
And my father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing
Darling, hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light and life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love
Love, love
And things were all good yesterday
But then the devil took your breath away
And now we're left here in the pain
Black suit, black tie, standing in the rain
And now my family is one again
Stapled together with the strangers and a friend
Came to my mind, I should paint it with a pen
Six years old, I remember when
My father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing
Darling, hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light and life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love
Love, love
See the love, the love, the love, the love
See the love, the love, the love, the love
See the love, the love, the love, the love
And my father and all of my family
Rise from their seats to sing hallelujah
And my mother and all of my family
Rise from their seats to sing hallelujah
And my brother and all of my family
Rise from their seats to sing hallelujah
(And all my brothers and my sisters, yeah, ah)
And my father and all of my family
Rise from their seats to sing hallelujah
To the love, the love, the love, the love
To the love, the love, the love, the love
To the love, the love, the love, the love",2014,"Disco, Soul music, Dance Pop",Positive
2014,Timber,Pitbull Featuring Ke$ha,True,"It's goin' down, I'm yellin' timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
Ooh-ooh (timber), ooh-ooh (timber)
Ooh-ooh-ooh-ooh-ooh-ooh (it's goin' down)
Ooh-ooh (timber), ooh-ooh (timber)
Ooh-ooh-ooh-ooh-ooh-ooh (it's goin' down, woo)
The bigger they are, the harder they fall
This biggity boy's a diggity dog
I have 'em like Miley Cyrus, clothes off
Twerking in their bras and thongs (timber)
Face down, booty up (timber)
That's the way we like to what (timber)
I'm slicker than an oil spill
She say she won't, but I bet she will (timber)
Swing your partner 'round and 'round
End of the night, it's goin' down
One more shot, another round
End of the night, it's goin' down
Swing your partner 'round and 'round
End of the night, it's goin' down
One more shot, another round
End of the night, it's goin' down
It's goin' down, I'm yellin' timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
It's goin' down (it's goin' down), I'm yellin' timber
You better move (you better move), you better dance (you better dance)
Let's make a night you won't remember
I'll be the one you won't forget (you won't forget)
Whoa-oh-oh (timber), whoa-oh-oh-oh-oh (timber)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (it's goin' down)
Whoa-oh-oh (timber), whoa-oh-oh-oh-oh (timber)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (it's goin' down, woo)
Look up in the sky, it's a bird? It's a plane?
Nah, it's just me, ain't a damn thing changed
Live in hotels, swing on planes
Blessed to say, money ain't a thing
Club jumpin' like LeBron, now Voli
Order me another round, homie
We about to climb, why?
'Cause it's about to go down
Swing your partner 'round and 'round
End of the night, it's goin' down
One more shot, another round
End of the night, it's goin' down
Swing your partner 'round and 'round
End of the night, it's goin' down (oh-oh-oh)
One more shot, another round
End of the night, it's goin' down
It's goin' down, I'm yellin' timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
It's goin' down (it's goin' down), I'm yellin' timber
You better move, you better dance (you better dance)
Let's make a night (let's make a night) you won't remember
I'll be the one you won't forget (you won't forget)
Whoa-oh-oh (timber), whoa-oh-oh-oh-oh (hey, timber)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (it's goin' down, Pitbull)
Whoa-oh-oh (timber, oh), whoa-oh-oh-oh-oh (timber)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (it's goin' down, woo)
Whoa-oh-oh (timber), whoa-oh-oh-oh-oh (timber, come on)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (it's goin' down)
Whoa-oh-oh (timber), whoa-oh-oh-oh-oh (you won't forget)
Oh-oh, oh-oh-oh-oh, oh-oh-oh-oh (timber)",2013,"Alternative/Indie, R&B/Soul, Electropop, Dance/Electronic, MORE",Positive
2014,Keep Them Kisses Comin',Craig Campbell,True,"You got your hair down
You got that look in your eye
That says come here and get me boy
Lay me down and love me just right, yeah
Ain't goin' no where
I got a bottle of wine
I got nothin' but time on my hands
And I'm gonna be your man tonight, ah yes I am
I can't imagine doin' nothin but what I'm doin'
Just layin' round tangled up with you
We got our buzz on sippin' on a little something
I need your lovin'
Just keep them kisses comin'
It's been a long week
I've been missin' me some you
All I wanna do is get your lips on mine
Girl if you only knew, hey
I can't imagine doin' nothin' but what I'm doin'
Just layin' round tangled up with you
We got our buzz on sippin' on a little something
I need your lovin'
Just keep them kisses comin'
Yeah keep 'em comin' all night
Don't stop killin' me baby
Don't stop drivin' me crazy
I swear there's honey on your lips
Baby give me one more long slow kiss
I can't imagine doin' nothin' but what I'm doin'
Just layin' round tangled up with you
We got our buzz on sippin' on a little something
I need your lovin'
Just keep them kisses comin'
Oh keep 'em comin' all night, hey",2013,"Dance Pop, Neo-Soul",Positive
2014,We Are Tonight,Billy Currington,True,"Ooh
Summer comin' through a rolled down window
Tearin' down an almost two lane back road
Freedom and fireflies in the air
The night's still young, never gonna get old
Livin' for today like there's no tomorrow
Follow the grooves, the tires in the grass
Stayin' on the gas like we're never comin' back
It's a Friday night, it's a small town girl
Everything is right and we rule the world
2 twelve's in the truck back, beating
A bunch of rock stars on a riverbank singing,
Whoa, whoa, everything, whoa, whoa, everything we wanna be
We are, we are, we are tonight
Swayin' back-n-forth, can't you feel the music?
Time stands still, I don't wanna lose it
Her tan, her touch, her laugh
Were flyin' so high like we're never gonna crash
It's a Friday night, it's a small town girl
Everything is right and we rule the world
2 twelve's in the truck back beating
A bunch of rock stars on a riverbank singing,
Whoa, whoa, everything, whoa, whoa, everything we wanna be
We are, we are, we are tonight
We are tonight, we are tonight
Toes in the grass with our hands up high
Dream as big as a midnight sky
So untamed and we're so alive tonight
It's a Friday night, it's a small town girl
Everything is right and we rule the world
2 twelve's in the truck back, beating
Bunch of rock stars on a riverbank singing,
whoa, whoa, everything, whoa, whoa everything we wanna be
We are, we are, we are tonight
We are tonight
Everything we wanna be,
Yeah we are, we are, we are tonight
Yeah
We are tonight
Whoa, oh, oh, oh, oh",2013,"Contemporary R&B, Pop, German Pop, UK R&B",Positive
